Product|PricePerPound|Quant|PricePerThing
Organic Valley Milk, Reduced Fat, 2% Milk Fat|None|0.5 gallons|5.49
Jet Puffed Marshmallows, Miniature|None|10 ounces|2.99
Nishiki Brown Rice, Premium|None|32 ounces|4.08
Gardein Teriyaki Chick'n Strips|None|10.5 ounces|5.41
Tasty Bite Rice, Tandoori|None|8.8 ounces|2.65
Wasa Whole Grain Crispbread|None|9.2 ounces|3.06
Italia Garden Juice, Italian Lemon|None|4.23 ounces|1.32
Fage Total Yogurt, Greek Strained, Whole Milk, Strained|None|17.6 ounces|5.10
Food For Life Ezekiel 4:9 Bread, Sprouted 100% Whole Grain|None|24 ounces|5.72
Watercress|None|None|0.99
De Cecco Penne Rigate, with Spinach, No. 41|None|12 ounces|1.99
San Pellegrino Sparkling Beverage, Prickly Pear & Orange|None|6|6.38
Walkers Shortbread, Gluten Free, Pure Butter, Chocolate Chip|None|4.9 ounces|5.10
Haagen Dazs Ice Cream, Chocolate Chip Cookie Dough|None|14 ounces|5.10
Muir Glen Organic Tomato Sauce|None|8 ounces|1.22
Hometown Bagel Chicago Style Bagels, Sesame|None|18 ounces|3.57
Jumex Nectar, Apricot|None|11.3 ounces|1.09
La Preferida Kidney Beans, Light Red|None|15 ounces|1.22
Michael Angelos Lasagna, Meat|None|11 ounces|4.90
Grey Poupon Mustard, Dijon|None|10 ounces|5.10
C&W Green Beans, Tiny Whole|None|None|3.57
Birds Eye C&W California Blend|None|14 ounces|3.47
Andrew & Everett Cheese, Thin Sliced American|None|7 ounces|4.49
Organic Curly Parsley|None|None|0.99
Planters Peanut Oil, 100% Pure|None|24 ounces|6.94
San Pellegrino Water, Natural Mineral, Sparkling|None|6|6.12
Wholesome Agave, Organic, Blue|None|11.75 ounces|6.12
Newmans Own Lemonade, Virgin, Old Fashioned Roadside|None|59 ounces|2.99
GTs Enlightened Synergy Kombucha, Organic, Mystic Mango|None|16.2 ounces|3.88
Lightlife, Smart Bacon, Veggie Bacon Strips, Meatless|None|5 ounces|5.10
Naked Mighty Mango 100% Juice Smoothie|None|15.2 ounces|4.08
Boar's Head USDA Choice Top Round Low Sodium Oven Roasted Beef|11.75|None|None
De Cecco Lasagne, No. 1|None|1 pound|4.39
Krinos Tahini, Imported, Ground Sesame Seeds|None|1 pound|5.61
Naked 100% Blue Machine Juice Smoothie|None|15.2 ounces|4.08
Kitchen Basics Cooking Stock, Unsalted, Beef|None|32 ounces|3.36
Bigelow Herbal Tea, Cozy Chamomile, Caffeine Free, Bags|None|20|3.57
Naked 100% Green Machine Juice Smoothie|None|15.2 ounces|4.08
Kedem Tea Biscuits, Vanilla Flavor|None|4.2 ounces|0.91
Ka Me Fish Sauce|None|7 ounces|3.57
La Preferida Pinto Beans|None|15 ounces|1.01
Supremo Cheese, Shredded, Quesadilla, Queso Chihuahua|None|7.06 ounces|3.88
Newmans Own Organics Organics Pop's Corn Microwave Popcorn, Organic, Unsalted|None|3|4.08
Muir Glen Organic Tomatoes, Fire Roasted, Crushed|None|14.5 ounces|2.34
Barilla Penne, N.72|None|1 pound|2.03
Lays Dip, French Onion|None|15 ounces|5.10
La Preferida Jalapeno Nacho Slices, Hot|None|11.5 ounces|2.34
Tostitos Salsa, Chunky, Medium|None|15.5 ounces|4.08
Earthbound Farm Organic Berry Basket Blend|None|10 ounces|5.51
Food for Life Sprouted 100% Whole Grain Cinnamon Raisin Bread|None|24 ounces|8.68
Organic Bunch Beets|None|None|1.79
Gardein Golden Fishless Filets|None|6|4.90
Boars Head Mayonnaise, Real|None|9 ounces|4.08
Lays Potato Chips, Original, Wavy, Family Size!|None|10.25 ounces|4.39
Moreys Salmon, Smoked, Wild Keta, Classic|None|4.5 ounces|7.05
Bahlsen Hazelnut Milk Chocolate Wafers|None|4.4 ounces|3.26
Andrew & Everett Cheese, Shredded, Mozzarella|None|8 ounces|4.49
Kettle Hot! Jalapeno Potato Chips|None|5 ounces|3.06
CoolHaus Ice Cream, Awesome, Salted Caramel|None|1 pint|6.12
Micelis Ricotta Cheese, Traditional|None|15 ounces|3.36
Cafe Complements Coffee Creamer, French Vanilla|None|32 ounces|3.57
Toblerone Milk Chocolate, Swiss, Crunchy Salted Almond|None|100 grams|2.65
Leonard Novelty Bakery Cookie Assortment, Italian|None|16 ounces|5.61
Supreme Choice Catfish, Boneless, Fillets|None|16 ounces|7.45
Marzetti Dressing, House Italian|None|16 ounces|3.49
Muir Glen Organic Diced Tomatoes|None|28 ounces|3.57
Sun Chips Original|None|7 ounces|3.36
Annas Swedish Thins, Almond|None|5.25 ounces|2.85
Maple Grove Farms Pancake & Waffle Mix, Honey Buckwheat|None|24 ounces|4.08
Entenmanns Donuts, Rich Frosted|None|8|5.61
Briannas Dressing, Blush Wine Vinaigrette, Home Style|None|12 ounces|4.09
Ghirardelli Chocolate Bar, Unsweetened|None|4 ounces|3.77
Kerrygold Butter, Pure Irish|None|8 ounces|4.08
Simply Grapefruit 100% Juice, Pure Squeezed, Grapefruit|None|59 ounces|5.79
Lightlife Smart Dogs Veggie Hot Dogs, Meatless|None|8|5.10
San Pellegrino Sparkling Beverage, Orange, 6 Pack|None|11.15 ounces|6.38
Perfect Pasta Meat Tortellini|None|None|5.10
Perfect Pasta Tortellini, Classic Cheese|None|12 ounces|5.10
Briannas Dressing, Home Style, Real French Vinaigrette|None|12 ounces|4.09
Fage Total Yogurt, Greek Strained, Lowfat|None|17.6 ounces|5.10
Tostitos Tortilla Chips, Restaurant Style, Original, Bag - 13 Ounces|None|13 ounces|4.39
Tandoor Chef Chicken Tikka Masala, Medium Spiced|None|9 ounces|5.10
Babybel Semisoft Cheeses, Sharp Original, Mini|None|6|4.08
Haagen Dazs Ice Cream, Rum Raisin|None|14 ounces|5.10
Amys Veggie Burger, All American|None|4|6.12
Bob's Red Mill Organic Buckwheat Flour|None|22 ounces|5.49
Lactaid Milk, Reduced Fat, 2% Milkfat|None|1 quart|2.99
Muir Glen Organic San Marzano Style Diced Tomatoes|None|14.5 ounces|2.34
Barilla ProteinPlus Spaghetti|None|14.5 ounces|3.06
Annie's Organic Chocolate Chip Bunny Grahams|None|7.5 ounces|4.59
Bigelow Black Tea, Spiced Chai, Bags|None|20|3.57
Bigelow Black Tea, Vanilla Chai, Bags|None|20|3.57
Bob's Red Mill Vital Wheat Gluten|None|22 ounces|7.15
BelGioioso Fresh Ciliegine Mozzarella|None|8 ounces|3.98
House of Tsang Szechuan Spicy Stir-Fry Sauce|None|11.5 ounces|4.08
Alessi Sicilian Lentil Soup, Lenticchie|None|6 ounces|3.06
Alessi Noodle Soup, Brodo di Pollo, Chicken Flavored|None|6 ounces|3.06
Alessi Split Pea Soup, Sicilian, Spaccarelli|None|6 ounces|3.06
De Cecco Fusilli, No. 34|None|1 pound|1.99
Lays Potato Chips, Cheddar & Sour Cream Flavored|None|7.75 ounces|3.36
V & V Supremo Supremo Cheese, Quesadilla, Queso Chihuahua|None|8.8 ounces|4.28
Daiya Shreds, Cheddar Style|None|8 ounces|5.51
Golden Curry Sauce Mix, Golden Curry, Hot|None|3.5 ounces|3.57
Arnold Whole Grains Bread Oatnut|None|None|3.88
Duffys Crumpets|None|12.5 ounces|3.06
Passion Fruit|None|None|2.99
Huy Fong Chili Sauce, Hot, Sriracha|None|17 ounces|4.08
Fage Total 2% Milkfat Strained Greek Yogurt with Peach|None|5.3 ounces|1.73
Alessi Pesto|None|3.5 ounces|3.98
Xochitl Corn Chips, Blue, Mexican Style|None|12 ounces|4.08
Bahlsen Wafer Rolls, Waffeletten, Dark|None|3.5 ounces|3.67
Applegate Naturals Bacon, Turkey, Uncured, Hickory Smoked|None|8 ounces|5.92
Amy's Low Fat Organic Minestrone Soup|None|14.1 ounces|3.57
Amys Chili, Organic, Spicy|None|14.7 ounces|4.08
Amy's Indian Samosa Wrap|None|5 ounces|3.57
Food For Life Sprouted Grain Bread 7 Sprouted Grains|None|None|5.72
Walkers Shortbread, Pure Butter, Rounds|None|5.3 ounces|4.59
Tandoor Chef Samosa, with Mint Chutney|None|4|3.67
Yasso Frozen Greek Yogurt Bars, Mint Chocolate Chip|None|4|6.12
Athenos Crumbled Cheese, Feta, Traditional, Reduced Fat|None|3.5 ounces|3.06
Haribo Gold-Bears Gummi Candy|None|5 ounces|1.73
Chobani Non-Fat Greek Yogurt with Strawberry on the Bottom|None|5.3 ounces|1.01
Organic Green Leaf Lettuce|None|None|1.79
Baby Eggplant|3.99|None|None
Dynasty Brown Rice, Jasmine|None|32 ounces|3.57
Martinellis Gold Medal Cider, 100% Pure|None|1.5 liters|7.15
Blue Diamond Almond Breeze Almondmilk, Vanilla|None|32 ounces|3.36
Lakewood Organic 100% Juice, Pure Prune|None|32 ounces|7.15
Lakewood Organic Fresh Blends 100% Cranberry Juice Blend|None|32 ounces|6.12
Kettle Sea Salt & Vinegar Potato Chips|None|5 ounces|3.06
GT'S Organic & Raw Lemonade Kombucha|None|16 fluid ounces|3.88
DiGiorno Pizza, Rising Crust, Spinach, Mushroom & Garlic|None|30.3 ounces|8.17
Doritos Tortilla Chips, Nacho Cheese Flavored|None|10 ounces|4.39
Walkers Shortbread, Pure Butter, Triangles|None|5.3 ounces|4.69
Daniele Sausage Italian Brand Dry-Cured|None|None|6.02
Tostitos Simply Organic Tortilla Chips Blue Corn|None|8.25 ounces|4.08
Haagen-Dazs Destination Series Mango Ice Cream|None|14 ounces|5.10
Karoun Kefir Cheese, Labne|None|1 pound|2.75
Cascadian Farm Premium Organic Gardener's Blend|None|10 ounces|3.29
Kettle Brand Sriracha Potato Chips|None|5 ounces|3.06
Seitenbacher Berries Temptation Natural Musli No. 2 Berries Cereal|None|16 ounces|7.15
Follow Your Heart Dairy Free American Style Cheese Alternative|None|10|4.59
Bahlsen Cookies, Choco Leibniz, Caramel, Crispy|None|4.7 ounces|3.06
Manner Wafers, Hazelnut Cream Filled|None|2.5 ounces|1.32
Jumex Nectar, Mango|None|64 ounces|3.59
Jarritos Soda, Tamarind|None|12.5 ounces|1.09
La Preferida Jalapeno Peppers, Hot, Sliced|None|11 ounces|1.73
Supremo Cheese, Shredded, Mexican 2 Cheese Blend, No Picante|None|7.06 ounces|3.88
Nopalina Flax Seed, Plus Fiber|None|16 ounces|13.28
Gia Russa Pasta Sauce, Select, Low Sodium, Tomato Basil|None|24 ounces|6.64
Cedar Phoenicia Lentils, Laird, Green|None|32 ounces|4.90
Tropical Grove Flavored Juice Drink, Peach|None|33.8 ounces|1.42
C&W Petite Peas|None|None|3.57
La Preferida Kidney Beans, Light Red, Low Sodium|None|15 ounces|1.32
Cabot Vermont Cheese, Sharp Cheddar, Slices|None|8 ounces|3.47
Lofthouse Soft Chewy Chocolate Chunk Cookies|None|None|3.77
Organic Red Chard|None|None|1.79
Mira Nectar, Premium Tropical, Strawberry Banana|None|33.8 ounces|2.29
Forager Organic Wild Blueberry Cashewgurt|None|5.3 ounces|1.83
Forager Cashewgurt, Organic, Strawberry|None|5.3 ounces|1.83
Simply Orange 100% Juice Blend, with Mango, Pulp Free|None|52 ounces|5.79
JLM Pecan, Halves, Raw|None|8 ounces|8.59
Cafe Complements Vanilla Caramel|None|32 fluid ounces|3.57
Boar's Head Branded Deluxe Ham|9.71|None|None
Simply Lemonade|None|59 ounces|5.79
Back to Nature 100% Juice, Fruit Punch|None|8|6.12
Applegate Naturals Turkey Breast, Oven Roasted|None|7 ounces|6.02
La Preferida Organic Beans, Black|None|15 ounces|1.83
BelGioioso Cheese, Parmesan|None|8 ounces|5.10
Muir Glen Organic Stewed Tomatoes|None|14.5 ounces|2.34
Barilla Manicotti|None|8 ounces|3.06
Mccann's Steel Cut Irish Oatmeal|None|28 ounces|9.81
Nutella Hazelnut Spread, with Cocoa|None|13 ounces|5.10
Amy's Light in Sodium Organic Spicy Chili|None|14.7 ounces|4.08
Amy's Light in SodiumLow Fat Organic Cream of Tomato Soup|None|14.5 ounces|3.57
Boars Head Sauerkraut|None|16 ounces|2.03
Annas Swedish Thins, Orange|None|5.25 ounces|2.85
Kings Hawaiian Rolls, Hawaiian Sweet, Original|None|4|1.63
Lindt Excellence Dark Chocolate, Intense Orange|None|3.5 ounces|3.06
Bigelow Black Tea, Lemon Lift, Decaffeinated, Bags|None|20|3.57
Cabot Cheese, Premium Naturally Aged Cheddar, Smooth Sharp|None|8 ounces|2.96
Westbrae Natural Low Sodium Organic Red Beans|None|15 ounces|2.03
California Pizza Kitchen Pizza, Crispy Thin Crust, Margherita|None|15.5 ounces|8.17
Bruce Cost Unfiltered Jasmine Tea Ginger Ale|None|12 fluid ounces|2.41
Organic Leeks|2.49|None|None
San Pellegrino Sparkling Natural Mineral Water|None|33.8 ounces|2.03
Sun Brand Curry Powder, Madras|None|4 ounces|3.06
Rice Dream Original Classic Organic Rice Drink|None|32 ounces|4.49
California Pizza Kitchen Pizza, Crispy Thin Crust, BBQ Recipe Chicken|None|14.7 ounces|8.17
International Delight Coffee Creamer, Gourmet, Caramel Macchiato|None|16 ounces|3.06
Smartfood Popcorn, White Cheddar Cheese|None|2.25 ounces|1.52
Cheetos Cheese Flavored Snacks, Crunchy|None|8.5 ounces|3.57
Haribo Gold-Bears Gummi Candy, Sour|None|4.5 ounces|1.52
Ellas Kitchen 2 Peaches + Bananas Puree|None|3.5 ounces|2.34
Muir Glen No Salt Added Organic Tomato Sauce|None|15 ounces|2.34
Ellas Kitchen 2 Pears Mangoes + Papayas Puree|None|3.5 ounces|2.34
Donkey Chips Authentic Salted Tortilla Chips|None|14 ounces|3.57
Andrew & Everett Cheese, Thin Sliced Muenster|None|7 ounces|4.49
Pastorelli Pizza Crust, Ultra Thin & Crispy, Roman Pizzeria Style, 100% Whole Wheat|None|3|6.12
Andrew & Everett Cheese, Thin Sliced, Havarti|None|7 ounces|4.49
Le Vertable Port Salut Cheese|None|5.3 ounces|5.41
CF Burger Half & Half, Ultra-Pasteurized|None|1 pint|2.03
Spice Supreme Green Seasoning|None|None|1.29
Boar's Head Pastrami Seasoned Turkey Breast|9.71|None|None
Boar's Head Black Forest Ham Boneless Smoked 25% Lower Sodium|9.71|None|None
Applegate Naturals Uncured Genoa Salami|None|4 ounces|5.10
Sun Chips Harvest Cheddar|None|7 ounces|3.36
Chocolove Almonds & Sea Salt Dark Chocolate Bar|None|3.2 ounces|3.39
Gardein Chick'n Patties, Crispy|None|4|5.10
Perrier Sparkling Water, Natural Mineral, Lemon|None|4|4.08
Muir Glen Organic Tomatoes, Fire Roasted, Diced|None|28 ounces|3.57
Lawrys Gravy Mix, Au Jus|None|1 ounce|1.32
Ritter Sport Dark Chocolate, with Whole Hazelnuts|None|3.5 ounces|4.06
Barilla Sauce, Chunky Traditional|None|24 ounces|3.06
Daisy Cottage Cheese Small Curd 4% Milkfat Minimum|None|None|3.59
Alo Awaken Wheatgrass Aloe Vera Drink|None|16.9 ounces|2.03
Silk Almondmilk, Dark Chocolate|None|0.5 gallons|4.69
Chevre Montchevre Cheese, Fresh Goat, Honey|None|4 ounces|3.57
De Cecco Rigatoni, No. 24|None|1 pound|1.99
Haagen Dazs Ice Cream, Strawberry|None|14 ounces|5.10
Sapporo Ichiban Noodles & Soup, Japanese Style, Original Flavored|None|3.5 ounces|1.01
San Pellegrino Beverage, Sparkling Grapefruit|None|6|5.92
Lindt Excellence Dark Chocolate, Extra Dark, 85% Cocoa|None|3.5 ounces|3.06
Daiya Shreds, Mozzarella Style|None|8 ounces|5.51
Naked Berry Blast Fruit Juice Smoothie|None|15.2 ounces|4.08
Brownberry Health Nut Bread|None|24 ounces|3.89
Tofutti Milk Free Better Than Sour Cream|None|12 ounces|3.67
BelGioioso Cheese, Fontina|None|8 ounces|4.69
Campbells Tomato Juice|None|11.5 ounces|1.01
Kedem Tea Biscuits|None|4.2 ounces|0.91
Rold Gold Pretzels, Original, Tiny Twists|None|16 ounces|3.36
Ka Me Hoisin Sauce|None|8 ounces|3.36
Cento Tuna, Solid Pack Light|None|3 ounces|2.03
Carrs Cookies, English Tea, Ginger Lemon Cremes|None|7.05 ounces|4.08
Boars Head Gourmaise, Cajun Style|None|9 ounces|4.08
Ghirardelli Premium Baking Chips Bittersweet Chocolate|None|10 ounces|5.72
Tumaros Low-In-Carb Wraps, Honey Wheat|None|8|4.08
Boars Head Old World Delicacies Pancetta, Diced|None|4 ounces|5.10
Knorr Gravy Mix, Au Jus|None|0.6 ounces|1.52
Silk Soymilk, Vanilla|None|0.5 gallons|4.59
Cabot Cheese, Premium Naturally Aged Cheddar, Hot Habanero|None|8 ounces|2.96
Albanese 12 Flavor Gummi Bears|None|None|3.89
Bahlsen Cookies, Butter Leaves|None|4.4 ounces|2.85
Muir Glen Organic Tomatoes, Fire Roasted, Diced|None|14.5 ounces|2.34
Boars Head Canadian Style Old Fashioned  Bacon|7.66|None|None
Yasso Frozen Yogurt Bars, Greek, Blueberry|None|4|6.12
Yasso Frozen Yogurt, Greek, Chocolate Fudge|None|4|6.12
Barilla Lasagne, Oven-Ready|None|9 ounces|2.55
Italia Garden Lime Juice|None|4.23 ounces|1.32
Rutabagas|0.99|None|None
Organic Valley Italian Blend Finely Shredded Cheese|None|6 ounces|4.29
Dancing Deer Caramel Pecan Brownies|None|8 ounces|5.10
Clif Bar Chocolate Brownie Energy Bar|None|2.4 ounces|1.93
Walkers Shortbread, Gluten Free, Pure Butter|None|4.9 ounces|5.10
Daisy Cottage Cheese, Small Curd, 2% Milkfat, Low Fat|None|3 pounds|3.59
Doritos Tortilla Chips, Spicy Nacho Flavored|None|10 ounces|4.39
Gotham Greens Endless Summer Mix|None|None|4.08
Cheetos Puffs|None|8 ounces|3.57
Earthbound Farm Organic Cut Spinach|None|8 ounces|3.36
De Cecco Rotelle, No. 54|None|1 pound|1.99
Leibniz Cookies, Whole Wheat|None|7 ounces|3.06
Kettle Sour Cream and Onion Potato Chips|None|5 ounces|3.06
Lakewood Organic Cold Pressed 100% Juice, Pure Lime|None|12.5 ounces|5.10
Cherimoya|6.99|None|None
Puckered Pickle Barrel Select Deli Dills, Crunchy|None|32 ounces|5.61
Sweet Home Farm Granola, Cinnamon, with Raisins|None|20.5 ounces|8.17
Martinellis Gold Medal Sparkling Juice, Apple|None|10 ounces|1.63
Ghirardelli Chocolate, 100% Cacao, Unsweetened|None|4 ounces|3.57
Tassos Olive Oil, Extra Virgin, Organic|None|17 ounces|10.21
Tassos Tomatoes, Sundried, with Garlic and Herbs|None|12 ounces|5.82
Cabot Cheese Food, Pasteurized Process, American|None|None|3.47
Gardein Veggie Burgers, Garden|None|4|5.51
Gardein Porkless Bites, Sweet and Sour|None|10.5 ounces|5.00
LA Colombe Draft Latte|None|9 ounces|3.79
Guava|1.99|None|None
Boar's Head Blackened Turkey Breast Oven Roasted|9.71|None|None
Mifroma Le Gruyere|16.99|None|None
Wasa Whole Grain Multi Grain Crispbread|None|9.7 ounces|3.57
Wasa Hearty Crispbread|None|9.7 ounces|3.06
Sun Chips Garden Salsa|None|7 ounces|3.36
Pearson Blackeye Peas|None|12 ounces|2.03
La Preferida Black Beans, Refried|None|16 ounces|1.63
Chocolove Dark Chocolate, Orange Peel|None|3.2 ounces|3.39
Chocolove Cherries & Almonds, in Dark Chocolate|None|3.2 ounces|3.06
Blue Diamond Almond Milk, Chocolate, Unsweetened|None|32 ounces|3.06
Marzetti Croutons, Large Cut, Caesar|None|5 ounces|2.03
Lightlife Smart Ground Crumbles, Mexican, Meatless|None|12 ounces|5.10
Wasa Crispbread, Whole Grain, Fiber|None|8.1 ounces|3.06
Lightlife Smart Deli Veggie Ham Slices, Meatless|None|5.5 ounces|4.08
So Delicious Creamer, Coconut Milk, Original|None|1 pint|2.85
Daisy Sour Cream, Light|None|24 ounces|4.08
Tofurky Peppered Deli Slices|None|5.5 ounces|3.06
Cedars Hommus, Original|None|8 ounces|2.85
Muir Glen Organic Pasta Sauce, Garden Vegetable|None|25.5 ounces|4.69
Cedars Hommus, Garden Vegetable|None|8 ounces|2.85
Knorr Recipe Mix, French Onion|None|1.4 ounces|2.03
San Pellegrino Sparkling Beverage, Lemon|None|11.15 ounces|1.08
Pastorelli Pizza Sauce, Original|None|8 ounces|1.63
Sugar in the Raw Turbinado Cane Sugar|None|32 ounces|6.84
Pomi Chopped Tomatoes|None|26.46 ounces|3.77
Perfect Pasta Meat Ravioli|None|None|5.10
Cedars Hommus, Roasted Red Pepper|None|12 ounces|2.85
Sara Lee Bread, Butter|None|20 ounces|3.06
Near East Rice Pilaf Mix, Spanish Rice|None|6.75 ounces|3.06
Annies Macaroni & Cheese, Classic Mild Cheddar|None|6 ounces|2.55
Bobs Red Mill Flaxseed Meal, Whole Ground|None|16 ounces|4.08
Gerolsteiner Sparkling Water, Natural Mineral|None|25.3 ounces|2.55
San J Reduced Sodium Organic Tamari|None|10 ounces|5.10
Siggi's 0% Milkfat Raspberry Yogurt|None|5.3 ounces|1.83
Tasty Bite Bombay Potatoes|None|10 ounces|3.57
Siggi's 0% Milkfat Vanilla Yogurt|None|5.3 ounces|1.83
Boars Head Cheese, Goat, Chevre|None|4 ounces|4.49
Lactaid Fat Free Milk|None|0.5 gallons|5.59
Annies Organic Bunny Grahams, Chocolate|None|7.5 ounces|4.59
Fage Strained Whole Milk Greek Yogurt|None|7 ounces|1.73
Barilla Shells, Jumbo|None|12 ounces|3.57
House of Tsang Korean Teriyaki Stir-Fry Sauce|None|11.5 ounces|4.08
Bonne Maman Jelly, Muscat Grape|None|13 ounces|5.10
Barilla Shells, Medium|None|1 pound|2.03
Carrs Crackers, Table Water, Roasted Garlic & Herbs|None|4.25 ounces|4.08
Frontera Medium Tomatillo Salsa|None|16 ounces|4.08
Green Valley Organics Lactose Free Strawberry Lowfat Yogurt|None|6 ounces|2.03
Bubbies Kosher Dill Pickles|None|33 ounces|7.15
Izze Sparkling Juice, Blackberry|None|4|5.72
Amys Hearty Organic Soups, French Country Vegetable|None|14.4 ounces|4.39
Amy's Light in Sodium Organic Split Pea Low Fat Soup|None|14.1 ounces|3.67
Organic Valley Unsalted Cultured Butter|None|1 pound|6.49
SkinnyPop Popcorn, White Cheddar|None|4.4 ounces|3.88
Amys Bowls Pesto Tortellini|None|9.5 ounces|6.12
Santa Cruz Organic Apple Sauce|None|23 ounces|5.10
Bigelow Green Tea, Classic, Bags|None|20|3.57
Fage Total Lowfat Strained Greek Yogurt with Blueberry|None|5.3 ounces|1.73
Fage Total Lowfat Cherry Greek Yogurt|None|5.3 ounces|1.73
Silk Organic Unsweetened Soymilk|None|0.5 gallons|4.59
Albanese Wild Thing Sour Gummi Worms|None|None|3.49
Tofutti Better than Cream Cheese Imitation Cream Cheese, Plain|None|8 ounces|3.06
Brownberryry Oatmeal Bread|None|None|3.89
Amys Organic Soup, Organic, Semi-Condensed, Cream of Mushroom|None|14.1 ounces|4.08
Chobani Flip Almond Coco Loco Coconut Low-Fat Greek Yogurt|None|5.3 ounces|1.73
Applegate Naturals Turkey Breast, Smoked|None|7 ounces|6.02
Kings Hawaiian Rolls, Hawaiian Sweet, Original|None|12|4.08
Cento Artichoke Hearts, Quartered & Marinated|None|6 ounces|2.03
La Preferida Jalapeno Nacho Slices, Mild|None|11.5 ounces|2.34
Boars Head Frankfurters, Beef, Cocktail|None|12 ounces|6.84
DiGiorno Pizza, Original Rising Crust, Pepperoni|None|27.5 ounces|8.17
Silk Original Soymilk|None|64 ounces|4.59
Streits Latkes Mix, Potato Pancake|None|6 ounces|3.06
Cardinis Gourmet Dressing, Vinaigrette, Balsamic|None|12 fluid ounces|4.08
Cardinis Dressing, Light, Caesar|None|12 ounces|4.08
Manischewitz Egg Noodles, Medium|None|12 ounces|2.55
Sabra Hummus, Classic|None|10 ounces|3.67
Gardein Classic Meatless Meatballs|None|12.7 ounces|5.41
Gardein Beefless Burger, The Ultimate|None|4|5.51
Louisiana Fish Fry Products Fish Fry, New Orleans Style|None|10 ounces|1.93
Lundberg Rice Cakes, Brown Rice|None|8.5 ounces|4.08
Red Apple Cheese Cheese, Apple Smoked, Gruyere|None|8 ounces|4.69
Sabra Hummus, Roasted Pine Nut|None|10 ounces|3.67
Lakewood Organic Pure Fruit 100% Fruit Juice Nectar, Pomegranate|None|32 ounces|4.59
Boars Head Pepperoni, Turkey|None|4.5 ounces|3.06
Red Apple Smoked Mozzarella Cheese|None|8 ounces|4.69
Boars Head Hummus, Traditional|None|10 ounces|3.06
Boars Head Hummus, Roasted Pine Nut|None|10 ounces|3.06
Tropical Grove Flavored Juice Drink, Guava|None|33.8 ounces|1.42
Athenos Crumbled Cheese, Feta, Garlic & Herb|None|4 ounces|3.47
Carrs Crackers, Table Water|None|4.25 ounces|4.08
Ancient Harvest Organic Royal Bolivian Quinoa|None|12 ounces|7.86
Earthbound Farm Organic Butternut Squash, Organic|None|10 ounces|3.36
Dynasty Sesame Seed Oil|None|5 ounces|4.08
De Cecco Mezzi Rigatoni, No. 26|None|16 ounces|1.99
Green Escarole|None|None|1.99
Oyster Mushrooms|6.09|None|None
Lifeway Kefir, Organic, Natural, Unsweetened|None|32 ounces|5.10
Earths Best Organic Sweet Potatoes, 2 (6 Months+)|None|4 ounces|1.83
De Cecco Linguine, No. 7, with Spinach|None|12 ounces|1.99
LavAzza Coffee, Ground, Premium House Blend|None|10 ounces|9.70
Lakewood Organic Fresh Blends Juice Blend, 100%, Papaya|None|32 ounces|7.15
Lakewood Fresh Pressed Pure Apple Juice|None|32 ounces|4.90
Cedars Hommus, Garlic Lovers|None|12 ounces|2.85
Sushi Chef Soy Sauce, Dark, Japanese Style|None|10 ounces|3.36
Spice Hunter Garam Masala, Blend, Salt Free|None|1.8 ounces|5.61
Kettle Potato Chips, Krinkle Cut, Salt & Fresh Ground Pepper|None|2 ounces|1.52
Clif Coconut Chocolate Chip Bar|None|2.4 ounces|1.93
Siggi's 0% Milkfat Mixed Berries & Acai Yogurt|None|5.3 ounces|1.83
Chocolove Peppermint Dark Chocolate|None|3.2 ounces|3.39
Lays Potato Chips, Classic|None|2.75 ounces|1.52
Haagen Dazs Ice Cream, Mint Chip|None|14 ounces|5.10
Vermont Creamery French-Style Creme Fraiche|None|8 ounces|4.08
San Pellegrino Sparkling Beverage, Pomegranate & Orange|None|11.15 ounces|1.08
Mezzetta Peppers, Roasted, Yellow & Red, Marinated Sweet, Mild|None|16 ounces|5.00
Gia Russa Pasta Sauce, Select, Alfredo|None|15 ounces|6.64
Earths Best Organic Apples & Blueberries, 2 (6 Months+)|None|4 ounces|1.83
Artisan Tofurky Spinach Pesto Sausage|None|14 ounces|6.12
Chobani Greek Yogurt Blended with Coconut|None|5.3 ounces|1.01
Applegate Naturals Turkey Breast, Honey & Maple|None|7 ounces|6.02
Haagen Dazs Ice Cream, Cookies & Cream|None|14 ounces|5.10
Cabot Cheese, Shredded, Sharp Cheddar|None|8 ounces|3.09
Fritos Corn Chips The Original|None|9.25 ounces|3.57
Boars Head Sopressata, Dry Sausage|None|4 ounces|4.80
Boars Head Hummus, Kalamata Olive Tapenade|None|10 ounces|3.06
Daiya Shreds, Pepperjack Style|None|8 ounces|5.51
Alexia Onion Rings|None|11 ounces|4.59
Annie's Cinnamon Bunny Grahams|None|7.5 ounces|4.59
Boars Head Gourmaise, Pepperhouse|None|8.5 ounces|4.08
Ka Me Noodles, Japanese, Buckwheat|None|8 ounces|4.39
Ka Me Noodles, Japanese, Thick, Udon|None|8 ounces|5.10
Naked Boosted 100% Juice Smoothie, Blue Machine|None|32 ounces|6.12
Taste Nirvana Premium Coconut Water|None|16.2 ounces|2.75
Organic Valley Lowfat, Organic, 1% Milkfat|None|1 quart|2.99
Ginger People Candies, Ginger, Ultra Strength, Gin-Gins, Boost|None|1.1 ounces|1.42
Pacific Organic Curried Red Lentil Soup|None|32 ounces|4.80
